S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
44,"Rice, Atta & Flours",Roasted Rice Flour,"Uniformly dry-roasted fine white rice flour; essential foundation for Kerala snacks including kozhukkatta, ila ada, unniyappam, and murukku.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
45,"Rice, Atta & Flours",Raw Rice Flour,"Pure unroasted finely milled white rice flour; multi-purpose household ingredient for daily batters, snack coatings, and thickeners.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
46,"Rice, Atta & Flours",Fine Rice Flour,"Silky smooth sifted rice flour suited for light crisp snacks, bakery products, and traditional confectionery.",500 g,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
47,"Rice, Atta & Flours",Red Rice Flour,Nutrient-dense flour milled from unpolished Kerala red matta rice; rich in bran fiber and essential minerals for healthy rotis and porridge.,1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
48,"Rice, Atta & Flours",Avalose Podi Mix,"Iconic traditional Kerala snack mix crafted from dry-roasted coarse rice flour, grated coconut, cumin seeds, and jaggery.",500 g,,,
49,"Rice, Atta & Flours",Whole Wheat Atta,100% whole grain wheat flour ground to standard commercial fineness; universal grocery staple for daily soft chapatis and rotis.,5 kg,,,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?auto=format&fit=crop&w=600&q=80
50,"Rice, Atta & Flours",Chakki Fresh Atta,"Stone-ground whole wheat atta that retains the natural wheat germ and bran; yields exceptionally soft, wholesome rotis.",5 kg,,,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?auto=format&fit=crop&w=600&q=80
51,"Rice, Atta & Flours",Multigrain Atta,"Nutritious flour blend combining whole wheat with soya, oats, chana dal, maize, and psyllium husk for boosted dietary fiber.",5 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
52,"Rice, Atta & Flours",Whole Wheat,"Cleaned, premium whole wheat kernels purchased by Kerala households for custom milling at local chakki flour mills.",5 kg,,,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?auto=format&fit=crop&w=600&q=80
53,"Rice, Atta & Flours",Broken Wheat,"Cracked whole wheat grain pieces; widely cooked in Kerala homes for healthy breakfast upma, porridge, and festive Gothambu Payasam.",1 kg,,,
54,"Rice, Atta & Flours",Roasted Wheat Flour,"Dry-roasted whole wheat flour used to make wholesome evening snacks, halwas, and instant breakfast porridge.",1 kg,,,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?auto=format&fit=crop&w=600&q=80
55,"Rice, Atta & Flours",Wheat Bran,Pure dietary wheat husk fiber separated during milling; added to doughs and baked goods to elevate daily dietary fiber.,500 g,,,
56,"Rice, Atta & Flours",Maida,"Fine refined wheat flour; essential commercial and household ingredient for Kerala layered parotta, bakery snacks, cakes, and bhaturas.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
57,"Rice, Atta & Flours",Sooji Rava,"Granulated purified wheat semolina; the fundamental ingredient for traditional Kerala breakfast upma, kesari halwa, and rava dosa.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
58,"Rice, Atta & Flours",Fine Rava,"Very fine semolina granules milled from durum wheat; ideal for making delicate crisp snacks, puris, and smooth halwas.",500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
59,"Rice, Atta & Flours",Roasted Rava,"Pre-roasted golden wheat semolina that saves cooking time and ensures non-sticky, fluffy upma and quick evening tiffin.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
60,"Rice, Atta & Flours",Wheat Rava,"Cracked red samba durum wheat semolina; highly favored in Kerala for healthy, high-fiber, low-glycemic breakfast upma and porridge.",1 kg,,,
61,"Rice, Atta & Flours",Rice Rava,"Coarse granulated broken rice semolina; traditional alternative used for making instant rice idlis, savory upma, and gruels.",1 kg,,,
62,"Rice, Atta & Flours",Idli Rava,"Pre-treated parboiled cream of rice granules; mixed with urad dal batter to yield airy, spongy South Indian idlis.",1 kg,,,
63,"Rice, Atta & Flours",Ragi,"Whole red finger millet grains; rich in natural calcium and iron, traditionally soaked and milled at home for infant food and porridge.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
64,"Rice, Atta & Flours",Ragi Flour (Finger Millet Flour),"Pure stone-ground finger millet flour; widely consumed across Kerala for healthy morning ragi kurukku porridge, dosas, and rotis.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
65,"Rice, Atta & Flours",Sprouted Ragi Flour,"Flour ground from germinated finger millet grains; enhanced bioavailability of iron and digestive enzymes, standard weaning nutrition for infants.",500 g,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
66,"Rice, Atta & Flours",Jowar,Whole white sorghum grain; ancient gluten-free cereal cooked as a rice substitute or popped for wholesome snacking.,1 kg,,,
67,"Rice, Atta & Flours",Jowar Flour (Sorghum Flour),Gluten-free flour stone-ground from white sorghum; popular for preparing soft diabetic-friendly rotis and porridge.,1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
68,"Rice, Atta & Flours",Bajra,"Small greyish pearl millet grains; hearty winter cereal rich in magnesium and plant protein, used for cooling kambu koozh.",1 kg,,,
69,"Rice, Atta & Flours",Bajra Flour (Pearl Millet Flour),Traditional pearl millet flour; used to prepare wholesome rustic flatbreads and nutritious porridge.,1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
70,"Rice, Atta & Flours",Foxtail Millet,Small yellow grain millet rich in dietary fiber and vitamin B12; traditional South Indian alternative for rice and upma.,500 g,,,
71,"Rice, Atta & Flours",Little Millet,Small nutritious grain known in Kerala as Chama; fast-cooking traditional fasting staple and healthy table rice replacement.,500 g,,,
72,"Rice, Atta & Flours",Kodo Millet,Hardy ancient grain high in lecithin and polyphenols; popular health grain cooked like rice or made into khichdi.,500 g,,,
73,"Rice, Atta & Flours",Barnyard Millet,"Light and digestible ancient grain with low carbohydrate content; popular for upma, porridge, and breakfast tiffin.",500 g,,,
74,"Rice, Atta & Flours",Multimillet Flour,"Balanced composite flour blending ragi, jowar, bajra, and foxtail millets with wheat for enhanced daily nutritional intake.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
75,"Rice, Atta & Flours",Barley Grains (Barley Ari),Pearled whole barley grains; boiled in Kerala households to prepare cooling barley water for hydration and kidney health.,500 g,,,
76,"Rice, Atta & Flours",Barley Flour,"Finely milled barley grain flour; added to morning porridge, health drinks, and bread doughs for soluble beta-glucan fiber.",500 g,,,
77,"Rice, Atta & Flours",Besan,"Finely ground flour made from pure dehulled chana dal; indispensable pantry staple for Kerala onion pakodas, bajjis, and sweets.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
78,"Rice, Atta & Flours",Roasted Gram Flour,"Finely powdered roasted Bengal gram; used in Kerala confectionery, chutney thickening, and instant energy beverages.",500 g,,,
79,"Rice, Atta & Flours",Corn Flour,"Ultra-fine white refined corn starch; widely used as a culinary thickening agent in soups, gravies, puddings, and crispy fry batters.",500 g,,,
80,"Rice, Atta & Flours",Cornmeal,"Coarsely ground yellow maize flour; used for traditional flatbreads, gluten-free coatings, and savory porridge.",500 g,,,
81,"Rice, Atta & Flours",Tapioca Flour / Starch,Pure starch extracted from Kerala cassava roots; essential traditional thickener and gluten-free baking base for authentic regional snacks.,500 g,,,
82,"Rice, Atta & Flours",Arrowroot Powder,Authentic indigenous starch ground from Maranta arundinacea rhizomes; renowned in Kerala traditional home remedies for soothing gut digestion and cooking Koova Payasam.,250 g,,,
83,"Rice, Atta & Flours",Sago / Tapioca Pearls,"Pure tapioca starch pearls; widely stocked in Kerala grocery shops for festive payasam, puddings, and digestive fasting gruels.",500 g,,,
84,"Rice, Atta & Flours",Red Rice Aval,"Thick flattened flakes of parboiled Kerala red rice; rich in iron and dietary fiber, essential for Aval Nanachathu with fresh grated coconut and jaggery.",500 g,,,
85,"Rice, Atta & Flours",White Rice Aval,"Traditional flattened white rice flakes; popular across Kerala for quick savory breakfast upma, evening snacks, and poha chivda.",500 g,,,
86,"Rice, Atta & Flours",Thin Rice Aval,Delicate paper-thin white rice flakes; softens instantly in sweetened milk or coconut water without cooking for instant evening tea snacks.,500 g,,,
87,"Rice, Atta & Flours",Malar,Puffed unhusked whole paddy rice grains; traditional Kerala temple offering and nostalgic evening snack eaten with banana and jaggery.,250 g,,,
88,"Rice, Atta & Flours",Puffed Rice,"Light, airy crisp puffed rice grains; popular tea-time snack ingredient in Kerala, eaten plain or mixed with spicy mixture and roasted peanuts.",250 g,,,
89,"Rice, Atta & Flours",Rice Vermicelli,"Extruded pure white rice noodle strands; soaked or steamed to make instant breakfast sevai, idiyappam tiffin, or sweet payasam.",400 g,,,
90,"Rice, Atta & Flours",Roasted Vermicelli,Crispy pre-roasted golden wheat vermicelli strands; classic base for rapid preparation of traditional Kerala Semiya Payasam.,400 g,,,
91,"Rice, Atta & Flours",Unroasted Vermicelli,Pure durum wheat vermicelli strands suited for custom dry-roasting and cooking savory vegetable upma or sweet dessert.,400 g,,,
92,"Rice, Atta & Flours",Ragi Vermicelli,Extruded noodles made from whole finger millet flour; popular healthy alternative for preparing iron-rich breakfast upma.,400 g,,,
93,"Rice, Atta & Flours",Rolled Oats,"100% whole grain rolled oat flakes; widely consumed in Kerala homes as a healthy, fiber-rich morning porridge cooked in milk or water.",1 kg,,,
94,"Rice, Atta & Flours",Instant Oats,Finely rolled quick-cooking oat flakes; convenient 3-minute wholesome breakfast porridge for busy mornings.,1 kg,,,
95,"Rice, Atta & Flours",Oats Flour (Oats Powder),"Finely milled whole oat grain powder; easily blended into daily dosa batters, chapatis, and smoothies for heart-healthy beta-glucan fiber.",500 g,,,
