S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
29,Fruits,Tender Jackfruit,Young immature green jackfruit (Idichakka) widely used as a culinary vegetable in traditional curries.,1 pc,,,
30,Fruits,Jackfruit Bulbs,Freshly extracted ready-to-eat deseeded sweet jackfruit carpels.,500 g,,,
31,Fruits,Jackfruit Seeds,Edible starchy seeds harvested from ripe jackfruit used in traditional Kerala vegetable dishes.,500 g,,,
32,Fruits,Pineapple,Whole tropical fruit with sweet-acidic juicy pulp and rough exterior crown.,1 pc,,,
33,Fruits,Vazhakulam Pineapple,GI-tagged Kerala pineapple variety famous for exceptional sweetness and intense tropical aroma.,1 pc,,,
34,Fruits,Mauritius Pineapple,Queen-type spiny pineapple variety with deep yellow crunchy sweet pulp and low acidity.,1 pc,,,
35,Fruits,Papaya,Sweet ripe tropical fruit with orange pulp soft texture and natural digestive enzymes.,1 pc,,,
36,Fruits,Red Lady Papaya,High-grade hybrid papaya variety featuring deep red-orange sweet flesh and high sugar content.,1 pc,,,
37,Fruits,Local Papaya,Traditional Kerala home-grown country papaya prized for its natural sweetness and soft texture.,1 pc,,,
38,Fruits,Raw Papaya,Firm green unripened papaya used as a cooking vegetable in traditional Kerala curries and thoran.,1 pc,,,
39,Fruits,Guava,Common tropical fruit with sweet floral fragrance and edible nutritious seeds.,1 kg,,,
40,Fruits,White Guava,Crisp green-skinned guava variety with mild sweet white pulp and crunchy texture.,1 kg,,,
41,Fruits,Pink Guava,Fragrant guava variety with vibrant pink interior flesh and sweet tropical aroma.,1 kg,,,
42,Fruits,Thai Guava,Large crunchy mildly sweet guava variety with thick flesh and minimal seed content.,1 kg,,,
43,Fruits,Local Guava,Traditional Kerala country guava with intense aroma and tender edible seeds.,1 kg,,,
44,Fruits,Coconut,Mature brown coconut with firm white edible meat and refreshing coconut water.,1 pc,,,
45,Fruits,Tender Coconut,Fresh young green coconut filled with natural electrolyte-rich water and soft coconut jelly.,1 pc,,,
46,Fruits,Fresh Coconut Pieces,Cut slices of mature fresh coconut kernel ready for snacking and cooking preparations.,250 g,,,
47,Fruits,Coconut Kernel,Deshelled whole fresh white coconut meat ready for grating and culinary usage.,500 g,,,
48,Fruits,Copra,Dried edible coconut kernel used in traditional cooking festive offerings and confectionery.,1 kg,,,
49,Fruits,Orange,Standard sweet and juicy citrus fruit easily segmented for fresh consumption.,1 kg,,,
50,Fruits,Mandarin Orange,Small loose-jacket sweet citrus fruit with fragrant easy-to-peel segments.,1 kg,,,
51,Fruits,Sweet Lime,Mild low-acid citrus fruit (Mosambi) commonly juiced for a refreshing natural drink.,1 kg,,,
52,Fruits,Lemon,Tart yellow citrus fruit widely used for fresh lemon juice dressings and culinary seasoning.,500 g,,,
53,Fruits,Lime,Small tart green citrus fruit commonly used for fresh juices beverages and Kerala style pickles.,500 g,,,
54,Fruits,Big Lemon,Large thick-rinded acidic citrus variety (Vadakapuli) used in traditional Kerala pickles and chutneys.,1 pc,,,
55,Fruits,Pomelo,Large thick-rinded citrus fruit (Bablimoos) featuring mildly sweet and bitter pink vesicles.,1 pc,,,
56,Fruits,Watermelon,Large juicy green-striped melon with crisp refreshing sweet red flesh.,1 pc,,,
57,Fruits,Seedless Watermelon,Cultivated hybrid watermelon variety featuring crisp sweet red pulp without hard seeds.,1 pc,,,
58,Fruits,Yellow Watermelon,Refreshing specialty watermelon variety with sweet bright yellow interior flesh.,1 pc,,,
59,Fruits,Sapota,Brown-skinned tropical fruit (Chikku) with grainy sweet pulp tasting of brown sugar and caramel.,1 kg,,,
60,Fruits,Cricket Ball Sapota,Large round sapota variety with rich sweet granular pulp and thin peel.,1 kg,,,
61,Fruits,Rambutan,Hairy red tropical fruit with sweet translucent juicy flesh surrounding a single seed.,500 g,,,
62,Fruits,Mangosteen,Tropical fruit with thick purple rind enclosing sweet-tangy snow-white segmented flesh.,500 g,,,
63,Fruits,Passion Fruit,Aromatic tropical fruit with sweet-tart seeded pulp ideal for fresh juice and desserts.,500 g,,,
64,Fruits,Amla,Nutrient-dense Indian gooseberry with sharp sour-astringent taste and high vitamin C content.,500 g,,,
65,Fruits,Jamun,Deep purple oval seasonal berry (Njaval) with sweet-astringent juicy pulp.,500 g,,,
66,Fruits,Rose Apple,Bell-shaped crisp seasonal fruit (Chambakka) with mildly sweet and tart thirst-quenching taste.,500 g,,,
67,Fruits,Water Apple,Cone-shaped bell fruit (Pani Chambakka) with high water content and crisp texture.,500 g,,,
68,Fruits,Star Fruit,Five-angled yellow-green tropical fruit (Carambola) with crisp sweet-tart juicy flesh.,500 g,,,
69,Fruits,Bilimbi,Small tangy ribbed fruit (Irumban Puli) commonly used in Kerala fish curries beverages and pickles.,500 g,,,
70,Fruits,Wood Apple,Hard-shelled traditional fruit with aromatic sour-sweet brown pulp used in digestive sherbets.,1 pc,,,
71,Fruits,Custard Apple,Segmented green fruit (Sitaphal) with sweet creamy custard-like white pulp.,1 kg,,,
72,Fruits,Soursop,Prickly green tropical fruit (Mullaatha) with creamy sweet-sour aromatic white pulp.,1 pc,,,
73,Fruits,Breadfruit,Starchy textured tropical tree fruit (Kadachakka) cooked in traditional Kerala savory curries.,1 pc,,,
74,Fruits,Avocado,Pear-shaped butter fruit featuring rich creamy nutrient-dense green flesh.,1 kg,,,
75,Fruits,Dragon Fruit,Vibrant pink-skinned cactus fruit with speckled mildly sweet white flesh.,1 kg,,,
76,Fruits,Red Flesh Dragon Fruit,Specialty dragon fruit variety featuring deep magenta-red sweet pulp rich in antioxidants.,1 kg,,,
77,Fruits,Apple,Standard fresh sweet red table apple suitable for daily consumption.,1 kg,,,
78,Fruits,Red Delicious Apple,Classic heart-shaped dark red apple with sweet mild flavor and crisp texture.,1 kg,,,
79,Fruits,Royal Gala Apple,Sweet aromatic striped red-yellow apple with crisp and juicy bite.,1 kg,,,
80,Fruits,Fuji Apple,Large sweet bi-colored apple variety known for dense crunchy texture and long shelf life.,1 kg,,,
81,Fruits,Granny Smith Apple,Crisp bright green apple variety with a tart refreshing flavor and firm bite.,1 kg,,,
82,Fruits,Green Grapes,Juicy sweet and mildly tart seeded green table grapes.,500 g,,,
83,Fruits,Black Grapes,Deep purple-black seeded grapes with rich sweet flavor and antioxidant-rich skin.,500 g,,,
84,Fruits,Red Grapes,Sweet crimson-skinned table grapes with crisp flesh and juicy texture.,500 g,,,
85,Fruits,Green Seedless Grapes,Crisp elongated seedless green grapes with refreshing sweet flavor.,500 g,,,
86,Fruits,Black Seedless Grapes,Sweet seedless black table grapes popular for convenient fresh snacking.,500 g,,,
87,Fruits,Red Globe Grapes,Large firm round seeded red grapes with crunchy skin and sweet juicy pulp.,500 g,,,
88,Fruits,Pomegranate,Crowned red fruit with tough rind encasing hundreds of antioxidant-rich sweet ruby arils.,1 kg,,,
89,Fruits,Bhagwa Pomegranate,Premium pomegranate variety featuring glossy red skin and soft sweet dark red arils.,1 kg,,,
90,Fruits,Pear,Sweet bell-shaped temperate fruit with tender juicy slightly granular white flesh.,1 kg,,,
91,Fruits,Green Pear,Crisp green-skinned pear variety with delicate floral aroma and sweet flavor.,1 kg,,,
92,Fruits,Chinese Pear,Round golden-skinned Asian pear with high water content and crisp apple-like texture.,1 kg,,,
93,Fruits,Kiwi,Fuzzy brown fruit with bright green flesh edible black seeds and sweet-tart flavor.,3 pcs,,,
94,Fruits,Golden Kiwi,Smooth-skinned kiwi variety with sweet tropical golden pulp and mild flavor.,3 pcs,,,
95,Fruits,Muskmelon,Round netted melon with fragrant sweet salmon-orange juicy flesh.,1 pc,,,
96,Fruits,Sun Melon,Smooth yellow-skinned sweet melon with aromatic pale juicy interior.,1 pc,,,
97,Fruits,Strawberry,Heart-shaped sweet and tangy red berries widely used for snacking and desserts.,200 g,,,
98,Fruits,Plum,Smooth-skinned round stone fruit with juicy sweet-tart red or purple flesh.,500 g,,,
99,Fruits,Peach,Velvety-skinned stone fruit with sweet fragrant yellow flesh and delicate aroma.,500 g,,,
100,Fruits,Dates,Sweet chewy dried palm fruit widely consumed as an everyday nutrient-rich natural food.,500 g,,,
101,Fruits,Medjool Dates,Large soft premium dates with rich caramel-like sweetness and moist texture.,500 g,,,
102,Fruits,Ajwa Dates,Dark soft round dates with smooth texture and delicate natural sweetness.,500 g,,,
103,Fruits,Safawi Dates,Semi-dried black dates with chewy texture and deep rich sweet taste.,500 g,,,
104,Fruits,Deglet Noor Dates,Translucent amber-colored semi-dry dates with firm texture and honeyed flavor.,500 g,,,
105,Fruits,Kimia Dates,Soft moist black Iranian dates with tender melting texture and rich sweetness.,500 g,,,
