S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
15,"Dals, Pulses & Beans",Chana Dal (Kadala Parippu / Bengal Gram Dal),"Split and polished yellow Bengal gram; vital kitchen staple for making crunchy Kerala Parippu Vada, sambar, kootu curry, and vegetable stews.",1 kg,,,
16,"Dals, Pulses & Beans",Roasted Gram (Pottukadala / Chutney Dal),Pre-roasted crisp dehulled Bengal gram; essential instant ingredient ground with grated coconut for traditional Kerala breakfast chutneys and savory mixtures.,500 g,,,
17,"Dals, Pulses & Beans",Roasted Split Gram (Split Pottukadala),"Crispy roasted split chickpeas ready for instant consumption, garnishing tea-time mixtures, and blending into powdery chutneys.",500 g,,,
18,"Dals, Pulses & Beans",Toor Dal (Thuvaram Parippu / Arhar Dal),"Polished yellow pigeon peas; primary foundation pulse of South Indian cuisine, essential for daily Kerala Sambar, Rasam, and dal tadka.",1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
19,"Dals, Pulses & Beans",Unpolished Toor Dal (Desi Thuvaram Parippu),Natural whole-milled yellow pigeon peas processed without oil or artificial polish; retains natural earthy aroma and proteins for wholesome sambar.,1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
20,"Dals, Pulses & Beans",Masoor Dal (Split Red Lentil),Quick-cooking pinkish-orange split red lentils; melts into a silky smooth consistency for everyday digestible dal curries and comforting soups.,1 kg,,,
21,"Dals, Pulses & Beans",Whole Masoor (Brown Lentil / Sabut Masoor),Whole unhusked brown-skinned lentils with earthy flavor; cooked in hearty spiced curries and slow-simmered stews.,1 kg,,,
22,"Dals, Pulses & Beans",Horse Gram (Muthira),"Nutrient-packed traditional South Indian legume, celebrated in Kerala as Muthira; simmered with grated coconut in Muthira Puzhukku, thoran, and winter kanji.",1 kg,,,
23,"Dals, Pulses & Beans",Dried Green Peas (Pacha Pattani),Whole dried green field peas; soaked and slow-cooked in rich spiced coconut gravy for Kerala bakery-style Green Peas Curry with appam and porotta.,1 kg,,,
24,"Dals, Pulses & Beans",Dried White Peas (Vella Pattani / Safed Vatana),"Dried round white peas with mild sweet flavor; popular in Kerala shops for making evening street curries, sundal, and chaats.",1 kg,,,
25,"Dals, Pulses & Beans",Yellow Split Peas (Manja Pattani Parippu),Split dried yellow peas; budget-friendly pulse utilized in commercial catering and snacks for body and thickening.,1 kg,,,
26,"Dals, Pulses & Beans",Red Rajma (Red Kidney Beans),"Deep red kidney-shaped beans; tender and creamy when pressure-cooked, popular across Kerala households for rich gravies and rice bowls.",1 kg,,,
27,"Dals, Pulses & Beans",Chitra Rajma (Speckled Kidney Beans),"Light beige kidney beans with reddish-brown speckles; cooks softer and faster with a delicate, creamy texture.",1 kg,,,
28,"Dals, Pulses & Beans",Dark Red Rajma (Jammu Rajma),Small compact dark crimson kidney beans celebrated for rich glossy gravy and robust concentrated flavor.,1 kg,,,
29,"Dals, Pulses & Beans",Whole Soyabeans (Soya Payar),Cleaned whole dried yellow soybeans rich in plant protein; soaked and cooked into nutritious mixed bean curries and snacks.,1 kg,,,
30,"Dals, Pulses & Beans",Soya Chunks (Mealmaker),Textured defatted vegetable protein chunks; highly popular in Kerala grocery shops as a succulent plant-based curry ingredient cooked like meat.,500 g,,,
31,"Dals, Pulses & Beans",Soya Mini Chunks,"Bite-sized textured soya nuggets; readily absorbs spiced gravies, ideal for quick vegetable pulao, kurma, and stir-fries.",500 g,,,
32,"Dals, Pulses & Beans",Soya Granules (Mince),"Finely minced textured soya protein; excellent filling for savory cutlets, samosas, stuffed parathas, and dry stir-fries.",500 g,,,
33,"Dals, Pulses & Beans",Double Beans (Lima Beans),Large plump buttery white beans; soaked and cooked in Kerala-style spiced tomato-coconut gravy or tossed in vegetable medleys.,500 g,,,
34,"Dals, Pulses & Beans",Field Beans (Mochai / Avara Payar),Dried broad hyacinth field beans; popular South Indian winter specialty pulse cooked into aromatic curries and spicy dry roasts.,500 g,,,
35,"Dals, Pulses & Beans",Moth Beans (Moth Dal / Matki),"Small brown oblong legumes; highly nutritious, commonly sprouted or simmered in flavorful homestyle curries.",500 g,,,
36,"Dals, Pulses & Beans",Black Turtle Beans,"Dense, earthy black beans; soaked and cooked into high-fiber bean curries, rice bowls, and wholesome soups.",500 g,,,
37,"Dals, Pulses & Beans",Split Red Cowpea (Vanpayar Parippu),Split dehulled red cowpea; quick-simmering pulse used for traditional Kerala dal recipes and evening kanji sides.,500 g,,,
38,"Dals, Pulses & Beans",Sprouted Bean Mix (Mulappicha Payar),"Assorted wholesome mixture of green gram, cowpea, and black chickpeas; popular healthy option for instant Kerala stir-fries and salads.",500 g,,,
